time,temperature,humidity
2024-09-10 20:17:02.574068,22.2,58.8
2024-09-10 20:17:03.926885,None,None
2024-09-10 20:17:05.279759,None,None
2024-09-10 20:17:06.632722,None,None
2024-09-10 20:17:07.985448,22.2,59.1
2024-09-10 20:17:09.338319,22.2,59.2
2024-09-10 20:17:10.691082,22.2,59.2
2024-09-10 20:17:12.044014,None,None
2024-09-10 20:17:13.396739,22.2,59.1
2024-09-10 20:17:14.749595,None,None
2024-09-10 20:17:16.102340,22.2,58.9
2024-09-10 20:17:17.455254,None,None
2024-09-10 20:17:18.808064,None,None
2024-09-10 20:17:20.160804,22.2,58.8
2024-09-10 20:17:21.513995,22.2,58.8
2024-09-10 20:17:22.866957,None,None
2024-09-10 20:17:24.219871,None,None
2024-09-10 20:17:25.572608,22.2,59.0
2024-09-10 20:17:26.925375,None,None
2024-09-10 20:17:28.278368,None,None
2024-09-10 20:17:29.631136,22.2,59.1
2024-09-10 20:17:30.983883,22.2,59.2
2024-09-10 20:17:32.336642,22.2,59.2
2024-09-10 20:17:33.689717,22.2,59.2
2024-09-10 20:17:35.042697,22.2,59.2
2024-09-10 20:17:36.395754,None,None
2024-09-10 20:17:37.748446,22.2,59.1
2024-09-10 20:17:39.101620,22.2,59.1
2024-09-10 20:17:40.454753,22.2,59.0
2024-09-10 20:17:41.807674,22.2,58.9
2024-09-10 20:17:43.160436,22.2,58.9
2024-09-10 20:17:44.513597,None,None
2024-09-10 20:17:45.866551,22.2,58.8
2024-09-10 20:17:47.219504,None,None
2024-09-10 20:17:48.572280,22.2,58.7
2024-09-10 20:17:49.925412,22.2,58.7
2024-09-10 20:17:51.278509,None,None
2024-09-10 20:17:52.631442,22.2,58.6
2024-09-10 20:17:53.984179,22.2,58.6
2024-09-10 20:17:55.337159,None,None
2024-09-10 20:17:56.690225,None,None
2024-09-10 20:17:58.043165,22.2,58.4
2024-09-10 20:17:59.396141,None,None
2024-09-10 20:18:00.749024,None,None
2024-09-10 20:18:02.102609,None,None
2024-09-10 20:18:03.455438,None,None
2024-09-10 20:18:04.808185,22.2,58.3
2024-09-10 20:18:06.161233,None,None
2024-09-10 20:18:07.514192,22.2,58.2
2024-09-10 20:18:08.867011,None,None
2024-09-10 20:18:10.219785,22.2,58.2
2024-09-10 20:18:11.572785,None,None
2024-09-10 20:18:12.925582,22.2,58.2
2024-09-10 20:18:14.278360,None,None
2024-09-10 20:18:15.631109,22.2,58.1
2024-09-10 20:18:16.983993,None,None
2024-09-10 20:18:18.336700,22.2,58.1
2024-09-10 20:18:19.689459,22.2,58.1
2024-09-10 20:18:21.042272,None,None
2024-09-10 20:18:22.395160,None,None
2024-09-10 20:18:23.747864,22.2,58.1
2024-09-10 20:18:25.100823,22.2,58.1
2024-09-10 20:18:26.453792,22.2,58.1
2024-09-10 20:18:27.806718,None,None
2024-09-10 20:18:29.159431,22.2,58.1
2024-09-10 20:18:30.512245,22.2,58.0
2024-09-10 20:18:31.865053,22.2,58.0
2024-09-10 20:18:33.218045,None,None
2024-09-10 20:18:34.570783,None,None
2024-09-10 20:18:35.923537,None,None
2024-09-10 20:18:37.276241,22.2,57.9
2024-09-10 20:18:38.629166,None,None
2024-09-10 20:18:39.981969,None,None
2024-09-10 20:18:41.334905,22.2,58.0
2024-09-10 20:18:42.737556,22.2,57.9
2024-09-10 20:18:44.090500,None,None
2024-09-10 20:18:45.443442,22.2,57.9
2024-09-10 20:18:46.796210,22.2,57.9
2024-09-10 20:18:48.149120,None,None
2024-09-10 20:18:49.502189,None,None
2024-09-10 20:18:50.854874,22.2,57.9
2024-09-10 20:18:52.207685,None,None
2024-09-10 20:18:53.560399,22.2,57.9
2024-09-10 20:18:54.913314,None,None
2024-09-10 20:18:56.266089,22.2,58.0
2024-09-10 20:18:57.618838,22.2,57.9
2024-09-10 20:18:58.971582,22.2,57.9
2024-09-10 20:19:00.324687,None,None
2024-09-10 20:19:01.677785,None,None
2024-09-10 20:19:03.030541,22.2,57.9
2024-09-10 20:19:04.383344,22.2,57.9
2024-09-10 20:19:05.736274,22.2,58.0
2024-09-10 20:19:07.089043,22.2,57.9
2024-09-10 20:19:08.441919,22.2,58.0
2024-09-10 20:19:09.794712,None,None
2024-09-10 20:19:11.147965,None,None
2024-09-10 20:19:12.500941,None,None
2024-09-10 20:19:13.853719,22.2,58.1
2024-09-10 20:19:15.206500,None,None
2024-09-10 20:19:16.559423,None,None
2024-09-10 20:19:17.912136,22.2,58.2
2024-09-10 20:19:19.264872,None,None
2024-09-10 20:19:20.617727,22.2,58.1
2024-09-10 20:19:21.970673,None,None
2024-09-10 20:19:23.323364,22.2,58.0
2024-09-10 20:19:24.676098,22.2,58.0
2024-09-10 20:19:26.028865,22.2,58.0
2024-09-10 20:19:27.381933,22.2,58.0
2024-09-10 20:19:28.734718,None,None
